"","id","altura","idade","peso","imc","sexo","escolaridade","profissao","fumante.f","fumante.n","salario","carros","filhos"
"147",147,1.49,27,54.48,24.54,"F","1º Grau","Humanas","sim",1,2948.5,2,0
"148",148,1.48,28,54.31,24.79,"M","3º Grau","Exatas","não",0,2930.94,1,1
"149",149,1.53,28,56.09,23.96,"M","1º Grau","Exatas","não",0,3108.89,0,1
"150",150,1.5,25,54.86,24.38,"F","1º Grau","Exatas","não",0,2986.06,3,1
"151",151,1.51,26,55.33,24.27,"M","3º Grau","Humanas","não",0,3032.55,2,0
"152",152,1.65,23,60.99,22.4,"M","Mestrado","Biológicas","não",0,3598.65,2,2
"153",153,1.45,26,52.99,25.2,"M","3º Grau","Biológicas","sim",1,2799.21,2,2
"154",154,1.36,29,49.52,26.77,"M","2º Grau","Biológicas","não",0,2451.7,2,2
"155",155,1.43,31,52.28,25.57,"F","Analfabeto","Humanas","não",0,2727.79,2,0
"156",156,1.28,28,46.33,28.28,"M","Analfabeto","Exatas","sim",1,2132.79,1,1
"157",157,1.57,30,57.67,23.4,"F","Doutorado","Exatas","não",0,3266.52,1,1
"158",158,1.5,29,54.8,24.36,"M","1º Grau","Exatas","sim",1,2980,3,1
"159",159,1.39,29,50.47,26.12,"M","1º Grau","Exatas","sim",1,2546.78,1,1
"160",160,1.49,27,54.65,24.62,"M","3º Grau","Biológicas","não",0,2965.02,1,2
"161",161,1.55,27,57.02,23.73,"M","2º Grau","Biológicas","não",0,3202.41,0,2
"162",162,1.51,30,55.21,24.21,"F","Doutorado","Biológicas","não",0,3020.51,0,2
"163",163,1.53,30,56.39,24.09,"F","PósDoc","Exatas","sim",1,3138.59,3,1
"164",164,1.53,27,56.3,24.05,"F","PósDoc","Exatas","não",0,3129.66,0,1
"165",165,1.46,30,53.52,25.11,"F","1º Grau","Exatas","sim",1,2851.53,0,1
"166",166,1.55,27,56.97,23.71,"M","Mestrado","Biológicas","sim",1,3196.96,1,2
"167",167,1.57,28,57.72,23.42,"M","PósDoc","Humanas","não",0,3272.11,0,0
"168",168,1.51,25,55.28,24.24,"F","PósDoc","Biológicas","sim",1,3028.32,2,2
"169",169,1.49,28,54.63,24.61,"M","1º Grau","Humanas","não",0,2962.74,2,0
"170",170,1.48,27,54.02,24.66,"M","1º Grau","Exatas","não",0,2901.7,0,1
"171",171,1.48,23,54.12,24.71,"F","2º Grau","Exatas","não",0,2911.57,1,1
"172",172,1.51,26,55.5,24.34,"F","1º Grau","Humanas","sim",1,3049.85,2,0
"173",173,1.43,29,52.14,25.5,"M","Analfabeto","Exatas","sim",1,2714.04,0,1
"174",174,1.6,27,59.09,23.08,"M","2º Grau","Biológicas","não",0,3408.84,1,2
"175",175,1.71,30,63.24,21.63,"M","1º Grau","Biológicas","não",0,3823.92,3,2
"176",176,1.77,26,65.76,20.99,"M","3º Grau","Biológicas","sim",1,4075.99,3,2
"177",177,1.59,31,58.62,23.19,"M","3º Grau","Humanas","não",0,3362.47,3,0
"178",178,1.7,27,62.98,21.79,"F","2º Grau","Biológicas","sim",1,3797.57,1,2
"179",179,1.58,28,58.08,23.27,"M","PósDoc","Exatas","não",0,3308,3,1
"180",180,1.6,28,59.06,23.07,"F","Doutorado","Exatas","não",0,3406.27,2,1
"181",181,1.53,29,56.07,23.95,"F","3º Grau","Biológicas","sim",1,3106.76,3,2
"182",182,1.59,29,58.41,23.1,"F","3º Grau","Biológicas","sim",1,3340.84,1,2
"183",183,1.38,27,50.02,26.27,"F","1º Grau","Biológicas","não",0,2502.36,1,2
"184",184,1.4,31,51.02,26.03,"M","Doutorado","Humanas","não",0,2601.99,1,0
"185",185,1.5,27,54.91,24.4,"F","3º Grau","Exatas","sim",1,2990.86,1,1
"186",186,1.59,24,58.62,23.19,"F","Mestrado","Humanas","não",0,3361.95,1,0
"187",187,1.47,29,53.81,24.9,"F","2º Grau","Biológicas","não",0,2880.98,3,2
"188",188,1.46,27,53.35,25.03,"F","Analfabeto","Exatas","sim",1,2835.14,0,1
"189",189,1.49,28,54.75,24.66,"F","PósDoc","Humanas","não",0,2975.2,3,0
"190",190,1.56,26,57.48,23.62,"F","3º Grau","Biológicas","não",0,3248.47,0,2
"191",191,1.31,27,47.42,27.63,"M","Analfabeto","Exatas","não",0,2242.07,2,1
"192",192,1.49,29,54.62,24.6,"F","Mestrado","Humanas","não",0,2962.22,3,0
"193",193,1.55,26,56.99,23.72,"M","3º Grau","Humanas","sim",1,3199.16,2,0
"194",194,1.42,31,51.89,25.73,"F","3º Grau","Biológicas","não",0,2688.99,0,2
"195",195,1.58,28,58.23,23.33,"F","Doutorado","Biológicas","não",0,3322.72,1,2
"196",196,1.56,29,57.25,23.52,"M","Analfabeto","Exatas","sim",1,3225.29,1,1
"197",197,1.53,28,56.14,23.98,"F","PósDoc","Biológicas","sim",1,3113.65,0,2
"198",198,1.46,27,53.35,25.03,"F","Mestrado","Biológicas","não",0,2835.04,3,2
"199",199,1.54,29,56.48,23.82,"F","Mestrado","Exatas","sim",1,3147.55,1,1
"200",200,1.59,31,58.52,23.15,"M","1º Grau","Humanas","não",0,3352.48,2,0
"201",201,1.45,28,53.13,25.27,"M","3º Grau","Exatas","sim",1,2813.26,0,1
"202",202,1.66,28,61.31,22.25,"F","PósDoc","Biológicas","sim",1,3630.53,0,2
"203",203,1.47,28,53.83,24.91,"F","Doutorado","Humanas","não",0,2883.32,3,0
"204",204,1.56,29,57.41,23.59,"M","Doutorado","Exatas","não",0,3241.26,3,1
"205",205,1.43,27,52.02,25.44,"M","PósDoc","Humanas","sim",1,2701.87,3,0
"206",206,1.39,32,50.61,26.19,"F","Analfabeto","Humanas","não",0,2561.5,3,0
"207",207,1.57,32,57.95,23.51,"F","1º Grau","Biológicas","sim",1,3294.85,0,2
"208",208,1.5,29,54.83,24.37,"M","3º Grau","Humanas","sim",1,2983.23,2,0
"209",209,1.3,31,46.87,27.73,"F","2º Grau","Biológicas","sim",1,2187.46,1,2
"210",210,1.52,31,55.82,24.16,"M","3º Grau","Biológicas","sim",1,3081.92,3,2
"211",211,1.42,26,51.61,25.6,"M","Doutorado","Humanas","sim",1,2661.19,0,0
"212",212,1.32,27,47.76,27.41,"M","1º Grau","Biológicas","não",0,2275.68,1,2
"213",213,1.56,25,57.3,23.55,"F","Mestrado","Humanas","não",0,3230.14,0,0
"214",214,1.34,29,48.61,27.07,"F","3º Grau","Exatas","não",0,2360.66,1,1
"215",215,1.56,30,57.29,23.54,"M","Mestrado","Biológicas","não",0,3228.52,2,2
"216",216,1.68,26,62.02,21.97,"F","Doutorado","Humanas","sim",1,3702.16,0,0
"217",217,1.52,29,55.65,24.09,"F","1º Grau","Humanas","não",0,3065.2,1,0
"218",218,1.45,29,52.82,25.12,"F","Mestrado","Exatas","não",0,2781.88,1,1
"219",219,1.35,26,48.82,26.79,"F","PósDoc","Exatas","sim",1,2382,3,1
"220",220,1.41,29,51.52,25.91,"F","PósDoc","Biológicas","sim",1,2651.78,1,2
"221",221,1.42,28,51.79,25.68,"M","Doutorado","Exatas","sim",1,2679.05,3,1
"222",222,1.38,26,50.16,26.34,"F","Analfabeto","Biológicas","não",0,2516.5,2,2
"223",223,1.56,27,57.28,23.54,"M","Doutorado","Biológicas","não",0,3228.43,3,2
"224",224,1.38,28,50.18,26.35,"F","3º Grau","Exatas","não",0,2518.45,1,1
"225",225,1.32,31,47.99,27.54,"M","Doutorado","Biológicas","não",0,2299.29,2,2
"226",226,1.44,31,52.57,25.35,"M","Doutorado","Humanas","sim",1,2757.33,1,0
"227",227,1.45,30,52.86,25.14,"F","3º Grau","Humanas","não",0,2785.75,0,0
"228",228,1.62,28,59.97,22.85,"F","Doutorado","Humanas","sim",1,3497.42,0,0
"229",229,1.44,27,52.56,25.35,"M","1º Grau","Biológicas","não",0,2755.88,1,2
"230",230,1.56,29,57.34,23.56,"M","Analfabeto","Humanas","não",0,3233.53,2,0
"231",231,1.64,27,60.46,22.48,"M","2º Grau","Humanas","sim",1,3545.83,2,0
"232",232,1.48,31,54.36,24.82,"M","2º Grau","Exatas","sim",1,2936.17,3,1
"233",233,1.59,27,58.55,23.16,"F","Mestrado","Humanas","não",0,3355.32,1,0
"234",234,1.47,29,53.78,24.89,"M","Analfabeto","Humanas","sim",1,2878.47,0,0
"235",235,1.45,29,52.86,25.14,"F","1º Grau","Humanas","não",0,2785.97,0,0
"236",236,1.58,28,58.36,23.38,"M","Mestrado","Humanas","não",0,3335.76,2,0
"237",237,1.41,32,51.41,25.86,"M","Analfabeto","Exatas","não",0,2640.95,0,1
"238",238,1.53,26,56.09,23.96,"F","2º Grau","Humanas","não",0,3109.42,1,0
"239",239,1.41,30,51.27,25.79,"M","Mestrado","Biológicas","não",0,2627.42,0,2
"240",240,1.37,27,49.71,26.49,"F","PósDoc","Biológicas","não",0,2471.03,0,2
"241",241,1.58,24,58.31,23.36,"M","Mestrado","Biológicas","não",0,3331.26,0,2
"242",242,1.52,32,55.97,24.23,"M","PósDoc","Humanas","sim",1,3096.7,3,0
"243",243,1.54,28,56.48,23.82,"F","Doutorado","Humanas","não",0,3147.72,1,0
"244",244,1.51,26,55.45,24.32,"F","PósDoc","Biológicas","não",0,3044.75,0,2
"245",245,1.5,27,55,24.44,"F","2º Grau","Humanas","não",0,3000.07,3,0
"246",246,1.53,31,56.09,23.96,"M","Mestrado","Exatas","não",0,3109.19,0,1
"247",247,1.5,23,55.2,24.53,"M","3º Grau","Humanas","não",0,3019.94,0,0
"248",248,1.52,26,55.81,24.16,"M","3º Grau","Exatas","sim",1,3080.95,3,1
"249",249,1.41,31,51.58,25.94,"F","Mestrado","Humanas","sim",1,2657.6,1,0
"250",250,1.34,33,48.7,27.12,"M","PósDoc","Biológicas","não",0,2370.35,3,2
"251",251,1.5,31,54.88,24.39,"M","3º Grau","Biológicas","não",0,2988.11,0,2
"252",252,1.5,28,55.11,24.49,"F","Analfabeto","Exatas","não",0,3010.53,2,1
"253",253,1.55,30,56.95,23.7,"F","Mestrado","Biológicas","não",0,3194.58,1,2
"254",254,1.52,25,55.73,24.12,"F","Mestrado","Humanas","não",0,3073.08,2,0
"255",255,1.65,26,61.03,22.42,"M","Doutorado","Humanas","não",0,3602.83,3,0
"256",256,1.52,26,55.89,24.19,"F","3º Grau","Humanas","não",0,3089.3,0,0
"257",257,1.43,30,52.3,25.58,"M","Doutorado","Exatas","não",0,2730.33,3,1
"258",258,1.59,26,58.53,23.15,"F","3º Grau","Exatas","não",0,3352.59,1,1
"259",259,1.41,27,51.42,25.86,"M","2º Grau","Exatas","não",0,2642.32,1,1
"260",260,1.52,29,55.97,24.23,"M","PósDoc","Humanas","não",0,3097.02,3,0
"261",261,1.55,27,56.97,23.71,"F","Doutorado","Exatas","sim",1,3197.28,1,1
"262",262,1.39,26,50.64,26.21,"F","Mestrado","Exatas","não",0,2564.04,0,1
"263",263,1.55,26,57.07,23.75,"M","Mestrado","Exatas","não",0,3207.36,1,1
"264",264,1.5,30,54.92,24.41,"M","PósDoc","Biológicas","não",0,2992.48,2,2
"265",265,1.28,29,46.03,28.09,"F","Doutorado","Exatas","não",0,2103.29,2,1
"266",266,1.48,26,54.15,24.72,"M","Mestrado","Biológicas","não",0,2915.18,3,2
"267",267,1.51,29,55.21,24.21,"F","1º Grau","Biológicas","sim",1,3020.82,0,2
"268",268,1.41,31,51.34,25.82,"M","Mestrado","Exatas","não",0,2633.96,3,1
"269",269,1.43,24,52.38,25.61,"M","Doutorado","Humanas","sim",1,2738.49,2,0
"270",270,1.49,25,54.57,24.58,"F","Analfabeto","Biológicas","não",0,2956.96,3,2
"271",271,1.56,28,57.28,23.54,"M","2º Grau","Exatas","sim",1,3228.46,0,1
"272",272,1.62,26,59.66,22.73,"F","3º Grau","Biológicas","não",0,3465.88,3,2
"273",273,1.54,23,56.51,23.83,"F","Mestrado","Exatas","não",0,3150.97,0,1
"274",274,1.55,29,57.1,23.77,"M","Doutorado","Humanas","não",0,3210.09,0,0
"275",275,1.41,31,51.33,25.82,"F","3º Grau","Exatas","não",0,2632.71,1,1
"276",276,1.4,28,51.01,26.03,"F","3º Grau","Biológicas","sim",1,2601.2,0,2
"277",277,1.61,27,59.57,22.98,"F","1º Grau","Exatas","não",0,3456.79,1,1
"278",278,1.5,29,54.84,24.37,"F","Analfabeto","Humanas","sim",1,2984.43,2,0
"279",279,1.49,30,54.79,24.68,"M","Analfabeto","Humanas","sim",1,2979.17,1,0
"280",280,1.74,27,64.4,21.27,"M","2º Grau","Exatas","sim",1,3940.06,3,1
"281",281,1.56,32,57.35,23.57,"F","Analfabeto","Exatas","não",0,3235.02,1,1
"282",282,1.43,28,52.06,25.46,"M","Analfabeto","Biológicas","não",0,2706.04,1,2
"283",283,1.55,30,56.82,23.65,"M","1º Grau","Humanas","sim",1,3181.8,0,0
"284",284,1.69,28,62.43,21.86,"F","2º Grau","Humanas","sim",1,3743.46,3,0
"285",285,1.76,28,65.42,21.12,"M","3º Grau","Biológicas","sim",1,4041.82,0,2
"286",286,1.38,27,50.21,26.37,"F","Mestrado","Exatas","não",0,2521.01,2,1
"287",287,1.43,31,52.31,25.58,"M","2º Grau","Biológicas","sim",1,2730.65,0,2
"288",288,1.5,25,54.95,24.42,"M","Doutorado","Biológicas","não",0,2994.77,1,2
"289",289,1.45,27,52.84,25.13,"M","PósDoc","Biológicas","não",0,2784.12,0,2
"290",290,1.59,24,58.63,23.19,"F","PósDoc","Humanas","sim",1,3363.24,1,0
"291",291,1.48,25,54.31,24.79,"F","1º Grau","Humanas","não",0,2930.99,0,0
"292",292,1.57,26,57.88,23.48,"F","1º Grau","Humanas","não",0,3288.26,0,0
"293",293,1.46,28,53.52,25.11,"F","Doutorado","Humanas","não",0,2852.23,1,0
"294",294,1.35,28,49.04,26.91,"M","3º Grau","Humanas","não",0,2403.55,3,0
"295",295,1.4,28,51.05,26.05,"M","1º Grau","Humanas","não",0,2605.07,1,0
"296",296,1.55,27,56.92,23.69,"M","PósDoc","Humanas","sim",1,3192.49,3,0
"297",297,1.46,30,53.41,25.06,"F","Analfabeto","Humanas","sim",1,2840.84,0,0
